21698,taobao.subuser.info.update,修改指定账户子账号的基本信息,修改指定账户子账号的基本信息（通过主账号登陆只能修改属于该主账号的子账号基本信息）
21709,taobao.bill.accounts.get,查询费用科目信息限自研商家,查询费用账户信息
21712,taobao.bill.book.bills.get,查询虚拟账户明细数据自研发商家专用,查询虚拟账户明细数据
21713,taobao.bill.bills.get,查询账单明细数据自研发商家专用,查询账单明细数据
21728,taobao.inventory.initial.item,商品库存初始化,商家仓商品初始化在各个仓中库存
21732,taobao.jushita.jdp.user.delete,删除数据推送用户,删除应用的数据推送用户，用户被删除后，重新添加时会重新同步历史数据。
21736,taobao.jushita.jdp.user.add,添加数据推送用户,提供给接入数据推送的应用添加数据推送服务的用户
21748,taobao.caipiao.shop.info.input,录入参加送彩票店铺信息,录入参加送彩票店铺信息，如果录入成功，返回true，如果录入失败，返回false，后端会根据卖家id与赠送类型（sellerid_presenttype_uk）来决定是新增数据还是修改数据。
21749,taobao.caipiao.goods.info.input,录入参加送彩票商品信息,录入参加送彩票商品信息，如果录入成功，返回true，如果录入失败，返回false，后端会根据商品id与赠送类型（goodsid_presenttype_uk）来决定是新增数据还是修改数据。
21771,tmall.promotag.tag.apply,优惠标签申请,创建优惠标签
21772,tmall.promotag.tag.find,查询标签接口,查询用户创建的所有标签
21773,tmall.promotag.taguser.judge,用户标签判断接口,查询用户是否有标签
21774,tmall.promotag.taguser.remove,给用户移除优惠标签,给用户载体去标
21775,tmall.promotag.taguser.save,给用户打上优惠标签,给用户载体打标
21784,taobao.appip.get,获取ISV发起请求服务器IP,获取ISV发起请求服务器IP
21788,taobao.clouddata.mbp.data.get,MBP查询接口,ISV通过该接口可以获取自己在MBP中开发的数据表中的数据
21804,taobao.wangwang.abstract.logquery,模糊聊天记录查询,模糊聊天记录查询
21805,taobao.wangwang.abstract.getwordlist,获取关键词列表,获取关键词列表，只支持json返回
21806,taobao.wangwang.abstract.deleteword,删除关键词,删除关键词，只支持json返回
21807,taobao.wangwang.abstract.addword,增加关键词,增加关键词，只支持json返回
21808,taobao.wangwang.abstract.initialize,模糊查询服务初始化,模糊查询服务初始化，只支持json返回
21828,taobao.caipiao.goods.info.get,根据卖家id与appkey获取商品信息,根据卖家id与appkey获取商品信息。
21829,taobao.item.process.shields.search,卖家屏蔽数据查询接口,分页查询卖家屏蔽宝贝记录
21830,taobao.item.process.shield.get,宝贝屏蔽记录获取,通过宝贝ID获取这个宝贝的屏蔽记录信息。
21869,taobao.fenxiao.refund.update,修改退款协议,修改退款协议
21870,taobao.fenxiao.refund.message.get,查询采购单退款信息,根据子采购单id，查询对应子单的退款留言信息
21871,taobao.fenxiao.refund.message.add,添加退款留言,添加退款留言
21872,taobao.fenxiao.refund.create,创建退款,用于对分销的子采购单创建退款
21873,taobao.fenxiao.refund.get,查询采购单退款信息,分销商或供应商可以查询某子单的退款信息，以及下游订单的退款信息
21874,taobao.fenxiao.product.unlink,分销商取消产品关联,分销商取消产品关联
21875,taobao.fenxiao.distributor.products.get,分销商查询产品信息,分销商查询供应商产品信息
21897,taobao.traderate.impr.imprword.byfeedid.get,根据交易订单id和卖家nick查询到该条评价的印象标签,根据卖家nick和交易id（如果是子订单，输入子订单id），查询到该条评价的大家印象标签
21899,taobao.traderate.impr.imprwords.get,评价大家印象印象短语接口,根据淘宝后台类目的一级类目和叶子类目
21914,taobao.clouddata.mbp.data.flowback,MBP数据回流接口,用户通过此接口向上传表上传数据
21981,taobao.tmc.groups.get,获取自定义用户分组列表,获取自定义用户分组列表
21982,taobao.tmc.group.delete,删除指定的分组或分组下的用户,删除指定的分组或分组下的用户
21983,taobao.tmc.group.add,为已开通用户添加用户分组,为已开通用户添加用户分组
21985,taobao.tmc.messages.confirm,确认消费消息的状态,确认消费消息的状态
21986,taobao.tmc.messages.consume,消费多条消息,消费多条消息。消费时如果没有返回消息，建议做控制，不要一直调api，浪费应用的流量。如对程序做好优化，若没有消息则，sleep 100ms 等。
21987,taobao.tmc.message.produce,发布单条消息,发布单条消息
21989,taobao.tmc.user.cancel,取消用户的消息服务,取消用户的消息服务
21990,taobao.tmc.user.permit,为已授权的用户开通消息服务,为已授权的用户开通消息服务
